customer_id,customer_name,email,phone,city,state,country
301,Evelyn Anthony,tpaul@example.com,(942)629-1376x1213,Lewismouth,GU,Mexico
302,Meagan Green,zcruz@example.net,835-458-2818x60166,West Ericview,CA,Brazil
303,Christopher Miller,tara72@example.com,4026448255,Lake Jamiemouth,CA,Bhutan
304,Larry Bradley,megan90@example.net,828.687.6902x40416,Watsonborough,MD,Monaco
305,Leslie Stephens,lindseywolfe@example.com,961.218.6171x347,Nancyside,ND,Bermuda
306,Michelle Murphy,juliaanderson@example.com,(591)871-3736x71106,North Keith,WA,Liechtenstein
307,Christopher Bauer,margaret22@example.com,571.502.1846x947,Carlaborough,FL,South Georgia and the South Sandwich Islands
308,Samantha Smith,donald51@example.net,905.361.8078x553,Williamsview,CO,Australia
309,Jodi Ellis,lindasilva@example.org,+1-974-442-9118,Erinmouth,SD,Eritrea
310,Sarah Velasquez,urichardson@example.org,706-288-7805,West Laurenshire,PR,Nepal
311,Shelly Glover,brent94@example.com,663-788-8262,Paulmouth,FM,Ukraine
312,Kevin Doyle,sandralopez@example.net,+1-549-388-7737,East Joshua,NY,Gibraltar
313,Debbie Kennedy,bentleyjohn@example.com,001-238-655-0749,South Julie,NM,Sao Tome and Principe
314,Sean Smith,jessicacharles@example.com,+1-305-275-0508x4901,East Jill,CO,Aruba
315,Ms. Alyssa Lewis,ryanfernandez@example.com,+1-724-430-2072x9048,West Kaitlynfurt,IA,Papua New Guinea
316,Christopher Lucas,caitlinlopez@example.com,(843)339-1090x8345,South Amanda,ND,Czech Republic
317,Amy Blanchard,evanfisher@example.org,(907)651-9274x512,East Audreyburgh,OK,Tokelau
318,Sherry Parker,josephstevens@example.net,404-550-5929,Lake Andrew,WV,Moldova
319,Sierra Dorsey,jacquelinebryant@example.com,7187436421,South Thomasside,AZ,Egypt
320,Susan Mitchell,sherrypadilla@example.com,(646)544-4634,North Nicole,SD,Equatorial Guinea
321,Julie Smith,kenneth95@example.com,7482383817,Sarahstad,TN,Gambia
322,Christopher Stewart,costajessica@example.org,(649)529-8809x17372,Port Robertview,RI,Iceland
323,Sherry Stanley,robert87@example.net,714-458-5569,Sharonland,CA,Western Sahara
324,Jamie Henson,lewisaaron@example.com,001-738-703-4121,Port Anna,MA,Seychelles
325,Joshua Ortiz,agreen@example.org,+1-792-527-7791,North Meghanbury,GU,Bouvet Island (Bouvetoya)
326,Tracey Whitehead DDS,brian05@example.net,272-939-9400,Port Betty,KS,Belarus
327,Anthony Fischer,fjohnson@example.com,691-782-3224x5353,Warefurt,MO,Gambia
328,Kelly Franklin,james62@example.net,611-255-1703x74003,Karimouth,RI,Hungary
329,Richard Davis,usilva@example.com,001-448-764-6516x7884,Port Ashley,SD,Mongolia
330,Jamie Martinez,gwilliams@example.org,+1-954-732-4727,Lake Kennethburgh,MD,Serbia
331,Donna Hernandez,jbriggs@example.com,(945)284-4372,Rowlandberg,ND,Greenland
